"site","records","dataset","lat","lon","seasonality","mean_temp"
"p_5394",29,"pep",50.4167,12.9667,21.3704918032787,8.32486338797814
"p_5237",37,"pep",53.3,14.2333,23.4770491803279,12.624043715847
"p_6869",18,"pep",45.9,13.6333,22.7032786885246,17.5106557377049
"p_6875",22,"pep",46.2,15.5333,23.7901639344262,14.6551912568306
"p_19291",34,"pep",45.6,17.233,25.6590163934426,16.4554644808743
"p_19296",16,"pep",45.367,18.233,25.8213114754098,16.2601092896175
"p_6866",25,"pep",46.5667,15.95,24.3360655737705,14.679781420765
"p_19297",31,"pep",45.267,15.283,23.727868852459,14.8823770491803
"p_6868",22,"pep",46.0667,14.5167,25.5737704918033,14.7870218579235
"p_19299",8,"pep",42.75,17.983,20.2049180327869,19.6068306010929
"p_20582",5,"pep",41.9667,22.7667,25.8262295081967,15.8162568306011
"p_6714",6,"pep",46.5,7.56667,19.2803278688525,8.38879781420765
