"","station","year","species","first_estimate","first_lower","first_upper","last_estimate","last_lower","last_upper","count","dates"
"1959","AA",1991,"WTSP",112.674135549155,110.745622328279,113.69931166387,136.179229003525,137.187696882299,134.41389308992,237,14
"1960","AA",1991,"YBCH",111.738061275651,-62.1704650959898,122.25537056628,146.951805190747,197.095083614196,142.27899383355,5,4
"1961","AA",1991,"YBFL",145.41560918152,132.827949758075,148.297786308713,165.28178395483,170.141042023663,164.04316814117,14,7
"1962","AA",1991,"YPWA",NA,NA,NA,NA,NA,NA,4,3
"1963","AA",1991,"YSFL",105.046469270896,-11.2486169884275,113.763824836953,180.283660821189,407.755684306635,160.788133955749,5,5
"1964","AA",1991,"YWAR",125.324356339373,55.7060124328889,134.451976833973,163.610385731834,204.854908556588,158.294399678708,6,6
"1965","AA",1992,"ACFL",144.487924728399,111.125641714299,146.93949277219,173.391750904869,318.702532482863,164.438265525464,5,4
"1966","AA",1992,"AMGO",116.388636890981,105.826009804624,119.769160238266,167.399959941231,177.26464069755,164.191076774909,23,15
"1967","AA",1992,"AMRE",128.605644425248,124.688886925746,137.061275726798,160.288423166359,161.175748457014,160.006517312227,62,12
"1968","AA",1992,"AMRO",103.93517165785,97.8837207449299,105.773824459339,165.231772428053,168.509859348325,164.047175584425,69,33
"1969","AA",1992,"BAOR",134.590290053745,121.972743071365,135.989301795924,235.74096961993,495.784485859618,196.821520411755,8,4
"1970","AA",1992,"BAWW",118.609451453742,115.604809567096,119.880221009353,158.141416697623,164.563188370674,155.969645003322,81,20
"1971","AA",1992,"BBCU",NA,NA,NA,NA,NA,NA,1,1
"1972","AA",1992,"BBWA",NA,NA,NA,NA,NA,NA,2,2
"1973","AA",1992,"BCCH",105.508689182173,104.601045937757,105.983279316577,166.462075969144,179.460327786405,163.527762800038,131,34
"1974","AA",1992,"BGGN",NA,NA,NA,NA,NA,NA,2,1
"1975","AA",1992,"BHCO",104.48555320343,98.3831389426358,105.975610731808,151.906002712635,168.251225159308,146.637150110196,19,13
"1976","AA",1992,"BLBW",NA,NA,NA,NA,NA,NA,2,2
"1977","AA",1992,"BLJA",113.161660440094,107.237580056376,114.08753760939,167.718180628174,178.813837642094,165.60814407166,308,32
"1978","AA",1992,"BLPW",135.003603312931,130.212058773402,138.465762382763,156.143833827823,156.445473446297,156.000116134172,34,7
"1979","AA",1992,"BRCR",102.956492342376,94.7925721220083,105.794031378966,121.285820990002,126.646810853665,120.037692060077,12,6
"1980","AA",1992,"BRTH",103.596262193073,94.1128850208182,106.784695723109,163.84166348246,172.816353285697,160.212093579392,30,17
"1981","AA",1992,"BTBW",138.932926316623,137.56606792154,138.99981527682,179.309734608355,NA,NA,15,6
"1982","AA",1992,"CARW",104.793165784401,80.2058378208994,112.690028682331,164.720187138247,168.881773348319,164.002847212358,19,13
"1983","AA",1992,"CAWA",137.701956413042,135.688936687413,138.936463064049,161.471778177504,162.843352012981,161.01277242872,54,13
"1984","AA",1992,"CEDW",127.800750034152,119.475407080752,131.599967749865,163.917593494584,167.228782772487,163.0184836739,27,10
"1985","AA",1992,"CHSP",NA,NA,NA,NA,NA,NA,1,1
"1986","AA",1992,"COGR",101.499007453146,NA,NA,163.550797371045,168.898343549648,160.381966017341,109,26
"1987","AA",1992,"COYE",132.747363516246,NA,NA,165.434943267885,173.592404735976,164.803116728931,180,20
"1988","AA",1992,"CSWA",136.063458057087,111.301932451445,138.921268871564,161.538138199984,203.362297351761,156.558745238303,6,5
"1989","AA",1992,"DOWO",116.30483350022,107.614456558244,117.97994830356,158.790466496719,172.994085866406,155.146527168499,13,11
"1990","AA",1992,"EAKI",129.365022767316,103.526047957634,134.470380941032,169.278011902293,207.231094268824,156.97265024165,8,5
"1991","AA",1992,"EAPH",104.87661478599,96.2905887236261,105.99342333787,177.767598197208,262.205906119676,163.979941156722,13,12
"1992","AA",1992,"EAWP",NA,NA,NA,NA,NA,NA,3,3
"1993","AA",1992,"ETTI",105.894264439889,105.517546792539,105.997604661632,145.186269743811,153.572356652127,142.836671540604,108,23
"1994","AA",1992,"EUST",NA,NA,NA,NA,NA,NA,1,1
"1995","AA",1992,"FISP",NA,NA,NA,NA,NA,NA,1,1
"1996","AA",1992,"FOSP",NA,NA,NA,NA,NA,NA,1,1
"1997","AA",1992,"GCFL",NA,NA,NA,NA,NA,NA,1,1
"1998","AA",1992,"GCKI",105.77096192493,104.460432611046,105.996985459777,128.41293553349,138.123846289818,125.971885315882,30,9
"1999","AA",1992,"GCTH",NA,NA,NA,NA,NA,NA,4,2
"2000","AA",1992,"GRCA",116.440960652893,106.578702220751,117.338339553427,164.410199095709,165.218853244093,164.022195629949,709,30
"2001","AA",1992,"HAWO",NA,NA,NA,NA,NA,NA,1,1
"2002","AA",1992,"HETH",103.849324814798,99.6302625134647,105.575986646415,135.574035080762,136.825008624634,135.029284551695,98,18
"2003","AA",1992,"HOFI",87.8164014146188,47.163972247881,103.200379003717,158.754700273394,168.36638030255,157.016104527951,14,11
"2004","AA",1992,"HOSP",NA,NA,NA,NA,NA,NA,2,2
"2005","AA",1992,"HOWA",NA,NA,NA,NA,NA,NA,1,1
"2006","AA",1992,"HOWR",122.022610671222,106.098015865815,125.716573092806,149.730618000717,161.76777191905,147.104990588836,10,9
"2007","AA",1992,"INBU",NA,NA,NA,NA,NA,NA,4,3
